# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals,Totals
,Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals,Totals
levelID,segment,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount
guessTheWeightInKg2,training,1,0,0,3,1,3,1,58,58,3,3,3,0,0,0,0,0,0,1,58,29,6,4,3
identifyFoodAndToysSet1,training,1,0,0,10,1,10,0,0,0,0,0,0,1,26,26,10,3,10,1,26,13,20,4,10
identifyFoodSet1ViaAudio,training,1,0,0,10,1,10,1,202,202,10,10,10,0,0,0,0,0,0,1,202,101,20,11,10
identifyVehiclesAndCrockeryViaAudio,speedrun,1,0,0,10,1,10,1,103,103,10,10,10,0,0,0,0,0,0,1,103,51.5,20,11,10
identifyVehiclesAndCrockeryViaAudio,training,1,0,0,10,1,10,1,134,134,10,9,10,0,0,0,0,0,0,1,134,67,20,10,10
introducingAudioTileInCount,training,1,0,0,2,2,1,1,12,6,2,2,1,0,0,0,0,0,0,1,12,3,4,4,1
introducingAudioTileInObjects,training,1,0,0,1,1,1,1,5,5,1,1,1,0,0,0,0,0,0,1,5,2.5,2,2,1
introducingSplitAndFill1,speedrun,1,0,0,6,1,6,1,14,14,6,3,6,0,0,0,0,0,0,1,14,7,12,4,6
introducingSplitAndFill1,training,1,0,0,6,1,6,1,97,97,6,5,6,0,0,0,0,0,0,1,97,48.5,12,6,6
longVersusRoundMatch,training,1,0,0,10,1,10,0,0,0,0,0,0,1,16,16,10,3,10,1,16,8,20,4,10
lookAndTell1000To9999Set3,training,1,0,0,6,1,6,0,0,0,0,0,0,1,132,132,6,2,6,1,132,66,12,3,6
matchAllColorsByAudio,training,1,0,0,10,1,10,0,0,0,0,0,0,1,14,14,10,2,10,1,14,7,20,3,10
matchAllShapesWithTiles,speedrun,1,0,0,30,3,10,1,506,168.66666666666666,30,28,10,0,0,0,0,0,0,1,506,84.33333333333333,60,31,10
matchAnimalSet3And4,training,1,0,0,10,1,10,0,0,0,0,0,0,1,175,175,10,9,10,1,175,87.5,20,10,10
matchAnimalWaterInTakeInL,speedrun,1,0,0,5,1,5,1,42,42,5,5,5,0,0,0,0,0,0,1,42,21,10,6,5
matchAnimalWaterInTakeInL,training,1,0,0,10,2,5,1,221,221,5,5,5,0,0,0,0,0,0,1,221,73.66666666666667,15,7,5
matchAudio0To5Count,speedrun,1,0,0,6,1,6,1,99,99,6,6,6,0,0,0,0,0,0,1,99,49.5,12,7,6
matchAudioByColorSet2,speedrun,1,0,0,10,1,10,1,93,93,10,10,10,0,0,0,0,0,0,1,93,46.5,20,11,10
matchAudioCount3To5,training,1,0,0,6,1,6,0,0,0,0,0,0,1,24,24,6,3,6,1,24,12,12,4,6
matchAudioNumber3To5,training,1,0,0,6,1,6,0,0,0,0,0,0,1,2,2,6,1,6,1,2,1,12,2,6
matchAudioNumber50To70,training,1,0,0,10,1,10,1,168,168,10,9,10,0,0,0,0,0,0,1,168,84,20,10,10
matchAudioNumber7To9,speedrun,1,0,0,6,1,6,1,74,74,6,6,6,0,0,0,0,0,0,1,74,37,12,7,6
matchAudioNumber7To9,training,1,0,0,30,5,6,1,59,59,6,6,6,0,0,0,0,0,0,1,59,9.833333333333334,36,11,6
matchAudioNumberUpTo20Again,speedrun,1,0,0,10,1,10,1,24,24,10,7,10,0,0,0,0,0,0,1,24,12,20,8,10
matchAudioNumberUpTo20Again,training,1,0,0,10,1,10,1,190,190,10,10,10,0,0,0,0,0,0,1,190,95,20,11,10
matchBasicShapesViaAudio,speedrun,1,0,0,10,1,10,1,129,129,10,10,10,0,0,0,0,0,0,1,129,64.5,20,11,10
matchBasicShapesViaAudio,training,1,0,0,10,1,10,1,159,159,10,10,10,0,0,0,0,0,0,1,159,79.5,20,11,10
matchColorObjectsSet2,training,1,0,0,10,1,10,0,0,0,0,0,0,1,207,207,10,7,10,1,207,103.5,20,8,10
matchColorTilesSet3And4,training,1,0,0,10,1,10,0,0,0,0,0,0,1,2,2,10,1,10,1,2,1,20,2,10
matchColorTilesTwo,speedrun,1,0,0,10,1,10,1,62,62,10,10,10,0,0,0,0,0,0,1,62,31,20,11,10
matchColorTilesTwo,training,1,0,0,10,1,10,1,59,59,10,10,10,0,0,0,0,0,0,1,59,29.5,20,11,10
matchCombinedCurrency1,speedrun,1,0,0,4,1,4,1,30,30,4,4,4,0,0,0,0,0,0,1,30,15,8,5,4
matchCombinedCurrency2,training,1,0,0,4,1,4,0,0,0,0,0,0,1,4,4,4,1,4,1,4,2,8,2,4
matchCountNumber7To9,speedrun,1,0,0,6,1,6,1,65,65,6,6,6,0,0,0,0,0,0,1,65,32.5,12,7,6
matchCountNumberRepeat1To10,speedrun,1,0,0,10,1,10,1,36,36,10,10,10,0,0,0,0,0,0,1,36,18,20,11,10
matchCurrencyWithCombinedCurrency3,speedrun,1,0,0,4,1,4,1,28,28,4,4,4,0,0,0,0,0,0,1,28,14,8,5,4
matchEdgesCorners1,speedrun,1,0,0,10,1,10,1,32,32,10,9,10,0,0,0,0,0,0,1,32,16,20,10,10
matchEdgesCorners1,training,1,0,0,10,1,10,1,33,33,10,7,10,0,0,0,0,0,0,1,33,16.5,20,8,10
matchEdgesCornersAll,training,1,0,0,10,1,10,0,0,0,0,0,0,1,25,25,10,3,10,1,25,12.5,20,4,10
matchFlipVertical,training,1,0,0,10,1,10,0,0,0,0,0,0,1,5,5,10,1,10,1,5,2.5,20,2,10
matchFractionFullAndHalf,speedrun,1,0,0,6,1,6,1,30,30,6,6,6,0,0,0,0,0,0,1,30,15,12,7,6
matchFractionWithImage2,speedrun,1,0,0,10,1,10,1,84,84,10,10,10,0,0,0,0,0,0,1,84,42,20,11,10
matchFractionWithImage2,training,1,0,0,10,1,10,1,83,83,10,10,10,0,0,0,0,0,0,1,83,41.5,20,11,10
matchFruitWithCombinedCurrency6,training,1,0,0,10,1,10,0,0,0,0,0,0,1,31,31,10,2,10,1,31,15.5,20,3,10
matchFruitWithCountPictograph,training,1,0,0,10,1,10,0,0,0,0,0,0,1,129,129,10,7,10,1,129,64.5,20,8,10
matchGirlsAndBoys,speedrun,1,0,0,10,1,10,1,14,14,10,7,10,0,0,0,0,0,0,1,14,7,20,8,10
matchGrayFlipHorizontal,speedrun,1,0,0,10,1,10,1,38,38,10,10,10,0,0,0,0,0,0,1,38,19,20,11,10
matchGrayFlipHorizontal,training,1,0,0,10,1,10,1,19,19,10,7,10,0,0,0,0,0,0,1,19,9.5,20,8,10
matchGrayFlipVertical,training,1,0,0,10,1,10,1,238,238,10,10,10,0,0,0,0,0,0,1,238,119,20,11,10
matchGrayScaleEffect3,speedrun,1,0,0,10,1,10,1,16,16,10,7,10,0,0,0,0,0,0,1,16,8,20,8,10
matchGrayScaleEffect3,training,1,0,0,10,1,10,1,31,31,10,10,10,0,0,0,0,0,0,1,31,15.5,20,11,10
matchHeavierLighterSameObject,speedrun,1,0,0,10,1,10,1,50,50,10,10,10,0,0,0,0,0,0,1,50,25,20,11,10
matchHeavierLighterSameObject,training,1,0,0,10,1,10,1,73,73,10,10,10,0,0,0,0,0,0,1,73,36.5,20,11,10
matchHundredsTensAudioFrom10to999,speedrun,1,0,0,10,1,10,1,20,20,10,7,10,0,0,0,0,0,0,1,20,10,20,8,10
matchHundredsTensAudioFrom10to999,training,1,0,0,10,1,10,1,72,72,10,10,10,0,0,0,0,0,0,1,72,36,20,11,10
matchInsideOutsideFirst,training,1,0,0,10,1,10,0,0,0,0,0,0,1,5,5,10,1,10,1,5,2.5,20,2,10
matchLeftRightSecond,training,1,0,0,10,1,10,0,0,0,0,0,0,1,93,93,10,5,10,1,93,46.5,20,6,10
matchMonthToNumber,training,1,0,0,10,1,10,0,0,0,0,0,0,1,39,39,10,1,10,1,39,19.5,20,2,10
matchMonthsWithDaysInfoPanel1,speedrun,1,0,0,5,1,5,0,0,0,0,0,0,1,2,2,5,1,5,1,2,1,10,2,5
matchMonthsWithDaysInfoPanel1,training,1,0,0,5,1,5,1,61,61,5,5,5,0,0,0,0,0,0,1,61,30.5,10,6,5
matchNumber0To5Count,speedrun,1,0,0,6,1,6,1,23,23,6,4,6,0,0,0,0,0,0,1,23,11.5,12,5,6
matchNumber0To5Count,training,1,0,0,6,1,6,1,17,17,6,3,6,0,0,0,0,0,0,1,17,8.5,12,4,6
matchNumberAudioRepeat1To10,training,1,0,0,10,1,10,0,0,0,0,0,0,1,4,4,10,1,10,1,4,2,20,2,10
matchObjectByColorViaAudio4,training,1,0,0,10,1,10,0,0,0,0,0,0,1,44,44,10,2,10,1,44,22,20,3,10
matchObjectSetFirst,training,1,0,0,10,1,10,0,0,0,0,0,0,1,35,35,10,7,10,1,35,17.5,20,8,10
matchObjectWithFraction3,training,1,0,0,10,1,10,0,0,0,0,0,0,1,44,44,10,6,10,1,44,22,20,7,10
matchObjectsViaAudioOfColorSet1,speedrun,1,0,0,10,1,10,1,55,55,10,10,10,0,0,0,0,0,0,1,55,27.5,20,11,10
matchObjectsViaAudioOfColorSet1,training,1,0,0,20,2,10,1,113,113,10,10,10,0,0,0,0,0,0,1,113,37.666666666666664,30,12,10
matchOnUnderFirst,training,1,0,0,10,1,10,0,0,0,0,0,0,1,3,3,10,1,10,1,3,1.5,20,2,10
matchOnUnderSecond,speedrun,1,0,0,10,1,10,1,14,14,10,7,10,0,0,0,0,0,0,1,14,7,20,8,10
matchOnUnderSecond,training,1,0,0,10,1,10,1,41,41,10,8,10,0,0,0,0,0,0,1,41,20.5,20,9,10
matchRankWithYear,training,1,0,0,6,1,6,0,0,0,0,0,0,1,146,146,6,1,6,1,146,73,12,2,6
matchRotateOverall180,speedrun,1,0,0,10,1,10,1,54,54,10,8,10,0,0,0,0,0,0,1,54,27,20,9,10
matchSecondaryShapeTiles,speedrun,1,0,0,10,1,10,1,73,73,10,10,10,0,0,0,0,0,0,1,73,36.5,20,11,10
matchTensOnesWithAudio50To99,speedrun,1,0,0,10,1,10,1,28,28,10,7,10,0,0,0,0,0,0,1,28,14,20,8,10
matchTensOnesWithAudio50To99,training,1,0,0,10,1,10,1,118,118,10,9,10,0,0,0,0,0,0,1,118,59,20,10,10
matchTopBottomThird,training,1,0,0,10,1,10,0,0,0,0,0,0,1,49,49,10,5,10,1,49,24.5,20,6,10
matrixMultiplicationRandomNumbers3,training,1,0,0,10,1,10,0,0,0,0,0,0,1,18,18,10,2,10,1,18,9,20,3,10
mergeAndFillAdditionB1To3From5To7,training,1,0,0,10,1,10,0,0,0,0,0,0,1,35,35,10,1,10,1,35,17.5,20,2,10
mergeCount1To3,speedrun,1,0,0,6,1,6,1,111,111,6,6,6,0,0,0,0,0,0,1,111,55.5,12,7,6
mergeCount1To5,speedrun,1,0,0,10,1,10,1,141,141,10,10,10,0,0,0,0,0,0,1,141,70.5,20,11,10
mergeCount1To5,training,1,0,0,10,1,10,1,156,156,10,10,10,0,0,0,0,0,0,1,156,78,20,11,10
mergeCount3To5,speedrun,1,0,0,6,1,6,1,99,99,6,6,6,0,0,0,0,0,0,1,99,49.5,12,7,6
mergeCount3To5,training,1,0,0,6,1,6,1,126,126,6,6,6,0,0,0,0,0,0,1,126,63,12,7,6
missingARandomAAndB50To99,training,1,0,0,10,1,10,0,0,0,0,0,0,1,6,6,10,1,10,1,6,3,20,2,10
mixedFractionImageMatching1,speedrun,1,0,0,10,2,5,1,37,18.5,10,10,5,0,0,0,0,0,0,1,37,9.25,20,12,5
mixedFractionImageMatching1,training,1,0,0,10,2,5,1,43,21.5,10,10,5,0,0,0,0,0,0,1,43,10.75,20,12,5
multiplication3TableAL,speedrun,1,0,0,3,1,3,1,81,81,3,2,3,0,0,0,0,0,0,1,81,40.5,6,3,3
multiplication8Table,speedrun,1,0,0,3,1,3,1,58,58,3,3,3,0,0,0,0,0,0,1,58,29,6,4,3
multiplication8Table,training,1,0,0,3,1,3,1,72,72,3,3,3,0,0,0,0,0,0,1,72,36,6,4,3
order9To12,training,1,0,0,30,5,6,0,0,0,0,0,0,1,173,34.6,30,11,6,1,173,17.3,60,16,6
orderObjectsBasedOnWeight,speedrun,1,0,0,3,1,3,1,18,18,3,3,3,0,0,0,0,0,0,1,18,9,6,4,3
orderObjectsBasedOnWeight,training,1,0,0,3,1,3,1,30,30,3,3,3,0,0,0,0,0,0,1,30,15,6,4,3
orderUpToFiveCount,training,1,0,0,10,1,10,0,0,0,0,0,0,1,15,15,10,1,10,1,15,7.5,20,2,10
orderUpToThreeAudio,training,1,0,0,6,1,6,0,0,0,0,0,0,1,63,63,6,5,6,1,63,31.5,12,6,6
orderUpToThreeCount,training,1,0,0,6,1,6,0,0,0,0,0,0,1,41,41,6,4,6,1,41,20.5,12,5,6
orderYears,training,1,0,0,6,1,6,0,0,0,0,0,0,1,69,69,6,5,6,1,69,34.5,12,6,6
orderingBasedOnMass,speedrun,1,0,0,10,1,10,1,124,124,10,10,10,0,0,0,0,0,0,1,124,62,20,11,10
orderingBasedOnMass,training,1,0,0,10,1,10,1,162,162,10,10,10,0,0,0,0,0,0,1,162,81,20,11,10
orderingBasedOnSize,speedrun,1,0,0,10,1,10,1,77,77,10,10,10,0,0,0,0,0,0,1,77,38.5,20,11,10
orderingBasedOnSize,training,1,0,0,10,1,10,1,73,73,10,10,10,0,0,0,0,0,0,1,73,36.5,20,11,10
patternBasicBirds,training,1,0,0,20,2,10,0,0,0,0,0,0,1,9,4.5,20,2,10,1,9,2.25,40,4,10
patternBasicFoods,training,1,0,0,10,1,10,0,0,0,0,0,0,1,90,90,10,7,10,1,90,45,20,8,10
patternBasicShapes,speedrun,1,0,0,10,1,10,1,158,158,10,10,10,0,0,0,0,0,0,1,158,79,20,11,10
patternBasicShapes,training,1,0,0,10,1,10,1,140,140,10,10,10,0,0,0,0,0,0,1,140,70,20,11,10
patternBasicToys,speedrun,1,0,0,10,1,10,1,111,111,10,10,10,0,0,0,0,0,0,1,111,55.5,20,11,10
patternBasicVegetables,speedrun,1,0,0,10,1,10,1,144,144,10,10,10,0,0,0,0,0,0,1,144,72,20,11,10
patternEatables,speedrun,1,0,0,10,1,10,1,55,55,10,10,10,0,0,0,0,0,0,1,55,27.5,20,11,10
patternFruits,training,1,0,0,10,1,10,0,0,0,0,0,0,1,187,187,10,10,10,1,187,93.5,20,11,10
patternLines,speedrun,1,0,0,10,1,10,1,61,61,10,10,10,0,0,0,0,0,0,1,61,30.5,20,11,10
patternLines,training,1,0,0,10,1,10,1,94,94,10,10,10,0,0,0,0,0,0,1,94,47,20,11,10
patternSameEmptyFullShapes,speedrun,1,0,0,6,1,6,1,31,31,6,4,6,0,0,0,0,0,0,1,31,15.5,12,5,6
patternSameEmptyFullShapes,training,1,0,0,6,1,6,1,88,88,6,6,6,0,0,0,0,0,0,1,88,44,12,7,6
patternWithMusicalNotes,speedrun,1,0,0,10,1,10,1,173,173,10,10,10,0,0,0,0,0,0,1,173,86.5,20,11,10
patternwithRotatedFilledShapes,speedrun,1,0,0,10,1,10,1,35,35,10,8,10,0,0,0,0,0,0,1,35,17.5,20,9,10
patternwithRotatedFilledShapes,training,1,0,0,10,1,10,1,134,134,10,10,10,0,0,0,0,0,0,1,134,67,20,11,10
recognizingActivity,training,1,0,0,10,1,10,1,95,95,10,10,10,0,0,0,0,0,0,1,95,47.5,20,11,10
recognizingHeavyLightWithAudio,speedrun,1,0,0,10,1,10,0,0,0,0,0,0,1,0,0,10,1,10,1,0,0,20,2,10
recognizingHeavyLightWithAudio,training,1,0,0,10,1,10,1,113,113,10,10,10,0,0,0,0,0,0,1,113,56.5,20,11,10
recognizingLongAndShortWithAudio,speedrun,1,0,0,10,1,10,1,123,123,10,10,10,0,0,0,0,0,0,1,123,61.5,20,11,10
recognizingLongAndShortWithAudio,training,1,0,0,10,1,10,1,139,139,10,10,10,0,0,0,0,0,0,1,139,69.5,20,11,10
reviseSsWithStaticBas1BXMissingUpTo9,training,1,0,0,3,1,3,0,0,0,0,0,0,1,506,506,3,1,3,1,506,253,6,2,3
reviseStackObjectsBasedOnLines,speedrun,1,0,0,6,1,6,1,22,22,6,3,6,0,0,0,0,0,0,1,22,11,12,4,6
rollSlideMatching,training,1,0,0,10,1,10,0,0,0,0,0,0,1,29,29,10,5,10,1,29,14.5,20,6,10
sequenceGrowthCompartments,speedrun,1,0,0,10,1,10,1,115,115,10,9,10,0,0,0,0,0,0,1,115,57.5,20,10,10
sequenceGrowthCompartments,training,1,0,0,10,1,10,1,169,169,10,10,10,0,0,0,0,0,0,1,169,84.5,20,11,10
sequenceGrowthEdges,training,1,0,0,10,1,10,0,0,0,0,0,0,1,28,28,10,2,10,1,28,14,20,3,10
sequenceImageGrowth,speedrun,1,0,0,10,1,10,1,108,108,10,3,10,0,0,0,0,0,0,1,108,54,20,4,10
sequenceWithTimeEventsDecreasing,training,1,0,0,10,1,10,0,0,0,0,0,0,1,2,2,10,1,10,1,2,1,20,2,10
sequencingNumber10To30,training,1,0,0,7,1,7,0,0,0,0,0,0,1,136,136,7,3,7,1,136,68,14,4,7
sequencingNumber50To70,training,1,0,0,7,1,7,1,237,237,7,7,7,0,0,0,0,0,0,1,237,118.5,14,8,7
simpleIdentificationFoodSet2,training,1,0,0,20,2,10,1,71,71,10,10,10,0,0,0,0,0,0,1,71,23.666666666666668,30,12,10
simpleIdentificationFruitsOverall,speedrun,1,0,0,20,2,10,1,79,39.5,20,18,10,0,0,0,0,0,0,1,79,19.75,40,20,10
simpleIdentificationFruitsOverall,training,1,0,0,20,2,10,1,92,46,20,19,10,0,0,0,0,0,0,1,92,23,40,21,10
simpleIdentificationVegetablesOverall,speedrun,1,0,0,10,1,10,1,95,95,10,10,10,0,0,0,0,0,0,1,95,47.5,20,11,10
simpleIdentificationVegetablesSet2,speedrun,1,0,0,10,1,10,1,125,125,10,10,10,0,0,0,0,0,0,1,125,62.5,20,11,10
simpleIdentificationVegetablesSet4,training,1,0,0,10,1,10,1,116,116,10,10,10,0,0,0,0,0,0,1,116,58,20,11,10
smallBigUpTo50Operator,training,1,0,0,10,1,10,0,0,0,0,0,0,1,102,102,10,9,10,1,102,51,20,10,10
sortAndStack9sAnd12sBoth,training,1,0,0,10,1,10,0,0,0,0,0,0,1,54,54,10,3,10,1,54,27,20,4,10
ssFormHundredsA3BOnes,training,1,0,0,5,1,5,0,0,0,0,0,0,1,1,1,5,1,5,1,1,0.5,10,2,5
ssMultiplication13,training,1,0,0,10,2,5,0,0,0,0,0,0,1,51,51,5,4,5,1,51,17,15,6,5
ssMultiplication31,speedrun,1,0,0,5,1,5,1,304,304,5,4,5,0,0,0,0,0,0,1,304,152,10,5,5
ssMultiplication32,speedrun,1,0,0,5,1,5,1,390,390,5,4,5,0,0,0,0,0,0,1,390,195,10,5,5
ssMultiplication32,training,1,0,0,5,1,5,1,574,574,5,5,5,0,0,0,0,0,0,1,574,287,10,6,5
ssMultiplication33,training,1,0,0,5,1,5,1,158,158,5,5,5,0,0,0,0,0,0,1,158,79,10,6,5
ssMultiplication35,training,1,0,0,5,1,5,0,0,0,0,0,0,1,543,543,5,4,5,1,543,271.5,10,5,5
ssMultiplication6,speedrun,1,0,0,5,1,5,1,35,35,5,5,5,0,0,0,0,0,0,1,35,17.5,10,6,5
ssRandomMissingSubtractionUpTo20,training,1,0,0,5,1,5,0,0,0,0,0,0,1,30,30,5,5,5,1,30,15,10,6,5
ssSubtractBas1XUpTo9,training,1,0,0,5,1,5,0,0,0,0,0,0,1,620,620,5,1,5,1,620,310,10,2,5
ssWithoutCarry1to99RandomAB,speedrun,1,0,0,10,1,10,1,13,13,10,7,10,0,0,0,0,0,0,1,13,6.5,20,8,10
ssWithoutCarry1to99RandomAB,training,1,0,0,10,1,10,1,16,16,10,7,10,0,0,0,0,0,0,1,16,8,20,8,10
ssXUpTo9MissingX,training,1,0,0,3,1,3,0,0,0,0,0,0,1,15,15,3,2,3,1,15,7.5,6,3,3
stackAnimalsByCategory,training,1,0,0,10,1,10,0,0,0,0,0,0,1,54,54,10,2,10,1,54,27,20,3,10
stackBasicShapes,training,1,0,0,10,1,10,0,0,0,0,0,0,1,56,56,10,4,10,1,56,28,20,5,10
stackColorTilesTwo,training,1,0,0,60,6,10,0,0,0,0,0,0,1,61,61,10,4,10,1,61,8.714285714285714,70,10,10
stackFoodAndToysOverall,training,1,0,0,10,1,10,0,0,0,0,0,0,1,2,2,10,1,10,1,2,1,20,2,10
stackFoodAndToysSet1,speedrun,1,0,0,10,1,10,1,81,81,10,8,10,0,0,0,0,0,0,1,81,40.5,20,9,10
stackFoodAndToysSet1And2,training,1,0,0,10,1,10,0,0,0,0,0,0,1,111,111,10,6,10,1,111,55.5,20,7,10
stackLivingAndNonLivingThingsAL,training,2,0,0,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,3,4
stackMultiStick7To9,training,1,0,0,12,2,6,1,98,49,12,10,6,0,0,0,0,0,0,1,98,24.5,24,12,6
stackRedAndYellowSet1,speedrun,1,0,0,10,1,10,1,72,72,10,10,10,0,0,0,0,0,0,1,72,36,20,11,10
stackRedAndYellowSet1,training,1,0,0,10,1,10,1,72,72,10,10,10,0,0,0,0,0,0,1,72,36,20,11,10
stackSquareAndCircle,training,1,0,0,10,1,10,0,0,0,0,0,0,1,13,13,10,2,10,1,13,6.5,20,3,10
stackTensAndOnes20UpTo50,speedrun,1,0,0,10,1,10,1,132,132,10,10,10,0,0,0,0,0,0,1,132,66,20,11,10
stackTensAndOnes20UpTo50,training,1,0,0,10,1,10,1,194,194,10,10,10,0,0,0,0,0,0,1,194,97,20,11,10
stackTensAndOnes20UpTo50Audio,training,1,0,0,10,1,10,1,84,84,10,9,10,0,0,0,0,0,0,1,84,42,20,10,10
stackVerticalAndHorizontalSymmetry,training,1,0,0,10,1,10,0,0,0,0,0,0,1,36,36,10,1,10,1,36,18,20,2,10
stackYellowAndGreenAndRed,training,1,0,0,10,1,10,0,0,0,0,0,0,1,24,24,10,6,10,1,24,12,20,7,10
subtractionByFillUpTo9,training,1,0,0,10,1,10,0,0,0,0,0,0,1,6,6,10,1,10,1,6,3,20,2,10
tensAndOnesAudio10To50,training,1,0,0,8,1,8,0,0,0,0,0,0,1,9,9,8,3,8,1,9,4.5,16,4,8
twoDigitMultiplication3,speedrun,1,0,0,6,1,6,1,34,34,6,6,6,0,0,0,0,0,0,1,34,17,12,7,6
twoDigitMultiplication3,training,1,0,0,6,1,6,1,56,56,6,6,6,0,0,0,0,0,0,1,56,28,12,7,6
verticalSmartChartWithFruits,speedrun,1,0,0,10,1,10,1,17,17,10,7,10,0,0,0,0,0,0,1,17,8.5,20,8,10
verticalSmartChartWithFruits,training,1,0,0,10,1,10,1,60,60,10,8,10,0,0,0,0,0,0,1,60,30,20,9,10
withCarryFrom100To499B3,training,1,0,0,10,2,5,0,0,0,0,0,0,1,65,32.5,10,2,5,1,65,16.25,20,4,5
writeLevel1To9,training,1,0,0,10,1,10,0,0,0,0,0,0,1,13,13,10,3,10,1,13,6.5,20,4,10
writeLevel5To9,training,1,0,0,10,1,10,0,0,0,0,0,0,1,23,23,10,4,10,1,23,11.5,20,5,10
zeroOnePatternTextHard,speedrun,1,0,0,10,1,10,1,108,108,10,2,10,0,0,0,0,0,0,1,108,54,20,3,10
addingToNumber20ToGetUpTo30,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
beforeAfterOfMonths,speedrun,1,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,6
dataCollectionFruitCount,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
dataHandlingMatrixIntroSpinner,speedrun,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
fractionMultiplication2,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
groupAdditionOf4,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
identifyFruitsSet1ViaAudio,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
introducingMergeFraction1,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
makeThousand1,training,1,0,0,12,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2,6
matchAudioByColorSet4,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
matchAudioNumber50To70,speedrun,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
matchCountNumber3To5,training,1,0,0,12,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2,6
matchGrayFlipVertical,speedrun,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
matchInsideOutsideFour,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
matchObjectByColorViaAudio3,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
matchShapeSquareAndCircle,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
matchTopBottomSecond,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
patternWith3Repeat,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
readBarChart6,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
recognizingActivity,speedrun,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
sequencingNumber50To70,speedrun,1,0,0,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,7
simpleIdentificationFoodSet2,speedrun,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
simpleIdentificationVegetablesSet4,speedrun,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
smallBigFrom50To99Operators,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
ssMultiplication33,speedrun,1,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,5
ssMultiplication34,training,1,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,5
stackMultiStick7To9,speedrun,1,0,0,12,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2,6
stackTensAndOnes20UpTo50Audio,speedrun,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10
twoDigitMultiplication4,training,1,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,10

